Task description,concept,task category,task cluster,autonomy level,average score,job,notes,discussion,chosen,100
Picking which news stories to show to people on social media websites,recommendation,media,media,decision,3,,"news for political/information, ads for spamming/business, movies for entertainment",entertainment,1,
Picking which advertisements to show to people on social media websites,recommendation,media,media,decision,3,,,entertainment,1,
Diagnosing & devising treatment plans for patients sick with the flu,health,health,conference,action,3,doctor,,health,1,
Diagnosing & devising treatment plans for patients with cancer,health,health,conference,action,3,doctor,,health,1,
Conducting a risk prognosis assessment for deciding which patients to transfer to the ICU given limited resources (intensive care),health,health,conference,decision,3,doctor,,health,1,
"Helping stroke patients with physical rehabilitation, by guiding or assisting with exercise motions when needed (similar to what a physical therapist might do as part of their job)",health,health,conference,action,3,physical therapist,,health,1,
Monitoring your health and alert when you should go to the doctor,health,health,media,recommendation,3,,monitoring/deciding,health,1,
"Diagnosing a person with autism spectrum disorder (according to the NIH, ASD refers to a group of complex neurodevelopment disorders characterized by repetitive and characteristic patterns of behavior and difficulties with social communication and interaction)",health (mental),health,conference,action,3,psychiatrist,,health,1,
"Providing support and resources (e.g., develop a treatment plan, provide counseling services and referrals) to individuals to help them recover from mental disorders, similar to what a mental health social worker might do",,health,jobs,action,3,Mental Health and Substance Abuse Social Workers,,health,1,considering separate analyses for teaching and recommendation
"Advising people on nutrition/their diet to help improve their health, similar to what a nutritionist might do",,health,jobs,recommendation,3,Dietitians and Nutritionists,,health,1,
Explaining the diagnosis and treatment options of cancer to a patient ,,health,jobs,action,3,Registered Nurses,,health,1,
Explaining the diagnosis and treatment options of the flu to a patient ,,health,jobs,action,3,Registered Nurses,,health,1,
"Providing and coordinating patient care in a health facility, similar to a small part of what a Registered Nurse might do.",,health,jobs,action,3,Registered Nurses,,health,1,
Cleaning your house,chores,chores,mundane,action,3,maid,,living,1,
Cooking dinner,chores,chores,mundane,action,3,,,living,1,
Buying groceries,chores,chores,mundane,action,,new,,living,1,
Figuring out how to bake a cake,cooking,chores,mundane,decision,,figuring out how to… ?,,living,1,
Brushing your teeth,hygiene ,chores,mundane,action,2.5,,,living,1,
Recommending a few outfits for you to wear,recommendation,chores,conference,recommendation,3,,,living,1,
Teaching you how to cook,teaching,chores,mundane,decision,3,,,living,1,
Deciding on an outfit for you to wear,,chores,conference,decision,3,,,living,1,
Translating an article you'd like to read from a foreign language to English,translation,communication,conference,action,3,translator,,living,1,
Filling out and submitting your federal tax return paperwork,finance,finance,mundane,action,3,tax accountant,,living,1,
Managing your personal finances/investments (similar to what a financial advisor might do),finance,finance,mundane,action,3,financial advisor,,living,1,
"Cleaning up toxic waste, e.g., after a chemical spill",manual labor,public works,conference,action,,,,living,1,
Describing images or scenes for visually impaired people,accessibility,service,conference,action,3,,,living,1,
Tracking important moments and information and creating memory aids for elderly people,accessibility,service,conference,action,,,,living,1,
"Helping elderly individuals to increase their mobility by guiding them through crowded public spaces (e.g., walking to the grocery store)",accessibility,service,conference,action,3,,,living,1,
Assisting elderly people with showering or bathing,service,service,conference,action,3,hospice care,,living,1,
"Monitoring a person’s driving and intervening when they’re distracted/in danger of making a mistake (e.g., emergency braking)",driving,transportation,conference,action,3,,,living,1,
Editing an internet forum comment before you post it for popularity,editing,writing,mundane,recommendation,3,,,living,1,
Breaking up with your romantic partner,chores,chores,mundane,action,3,,,"living, social",1,
Reading bedtime stories to your child,child care,personal responsibility,media,action,3,,,"living, social",1,
Walking your dog,chores,personal responsibility,mundane,action,,new,,"living, social",1,
Babysitting your child while you're at work,service,personal responsibility,mundane,action,3,babysitter,,"living, social",1,
Assisting your elderly parent while you’re at work,service,personal responsibility,mundane,action,3,home care,,"living, social",1,
Picking out and buying a birthday present for an acquaintance,shopping,personal responsibility,,action,2,,,"living, social",1,
Writing a birthday card to your mother,writing,personal responsibility,mundane,action,3,,,"living, social",1,
"Identifying the social relationship between two people (e.g., are they friends, a couple, strangers, siblings)",social,social,conference,decision,2,scene reading,,"living, social",1,
Thinking of conversation topics while hanging out with friends,social,social,mundane,decision,3,,,"living, social",1,
Choosing a person to go on a date with,social,social,mundane,decision,3,,,"living, social",1,
Asking a person out on a date,social,social,mundane,action,3,,,"living, social",1,
Telling a joke,social,social,mundane,action,3,,,"living, social",1,
Predicting the sexual orientation of a person,social,social,media,decision,2,,,"living, social",1,
Setting tariffs on imports from China,,,,,,,,civic,1,
Deciding military actions such as whether to launch airstrikes,,,,,,,,civic,1,
Recommending improvements to make your lifestyle more healthy,recommendation,health,media,recommendation,2.5,,,health,0,
Examining injured or ill patients and developing an individualized plan of care/rehabilitation that promotes movement and healing and reduces pain -- similar to some of what a physical therapist might do.,,health,jobs,action,3,physical therapist,,health,0,
Playing the guitar (or another musical instrument),art,art,mundane,action,3,,,"art, creative",0,
Scouting and recruiting college athletic players to professional teams based on assessment of player's performance (similar to what a talent scout does),"hiring, assessment",business,conference,action,3,hiring manager,similar to hiring,business,0,
"Identifying fake/deceptive online reviews (e.g., for hotels or products)",filtering,commerce,conference,action,3,,,business,0,
Recommending houses to buy that suit a potential home-buyer’s needs and budget (similar to part of what a real estate agent might do),real estate,commerce,mundane,recommendation,3,,,business,0,
"Assisting people in picking out and locating merchandise in a store, similar to what a retail sales assistant might do",service,commerce,conference,action,3,retail sales assistant,,business,0,
Identifying safety hazards on a construction site (e.g. tripping hazards),detection,construction,conference,decision,3,construction worker,,business,0,
"Planning and supervising farming crop production, including planting, fertilizing, and harvesting -- similar to what a farmer might do",agriculture,jobs,jobs,action,3,Farmer,,business,0,
"Analyzing, designing, and developing mechanical systems, machines, or devices such as engines or air conditioners -- similar to some of the responsibilities of a mechanical engineer.",,jobs,jobs,action,3,Mechanical Engineers,,business,0,
"Designing buildings that meet the needs of the client, and ensure the design meets regulations and building codes, similar to part of what an architect might do",,jobs,jobs,action,3,Architects,,business,0,
Planning and coordinating an event such as a wedding that meets the client's requirements and budget,,jobs,jobs,action,3,Event Planners,,business,0,
Coordinating the movement of aircraft to maintain safe distances between them -- similar to what an air traffic controller might do,,jobs,jobs,action,3,Air Traffic Controller,,business,0,
"Developing a cell phone/mobile application that meets customer requirements, similar to what a programmer/app developer might do",,jobs,jobs,action,3,Software developer,,business,0,
"Inspecting finished products (e.g., clothing items) from a factory to make sure they meet quality standards before sale (similar to what a quality control inspector might do)",inspection,manufacturing,,decision,,quality control inspector,,business,0,
Scheduling and reminding you of personal appointments or meetings,personal aid,personal responsibility,mundane,action,,new,,business,0,
"Identifying promising new materials which might have desired properties (e.g., for designing better batteries)",research,research,conference,recommendation,2.5,materials scientist,,business,0,
Serving drinks to customers in a bar,,service,jobs,action,3,Bartender,,business,0,
Booking a flight for a business trip,personal aid,work responsibility,mundane,action,,travel agent,,business,0,
Fact-checking a statement,information,information,mundane,decision,,reporter,,civic,0,
Directing the flow of pedestrian traffic in cities (similar to what a crossing guard does),traffic,jobs,conference,action,3,crossing guard/traffic cop,,civic,0,
Curbing the spread of misinformation on social media by flagging misleading viral articles,,media,media,decision,3,,,civic,0,
Monitoring security systems/video surveillance of customers in a retail store,security,security,conference,decision ?,3,security guard,,civic,0,
Identifying known criminals in public places and alerting the police,surveillance,security,media,decision,3,,,civic,0,
Playing basketball,games,entertainment,media,action,2,,,entertainment,0,
Recommending a movie for a friend to watch,recommendation,entertainment,mundane,recommendation,2,,,entertainment,0,
Picking which movies or shows to recommend to people on online/streaming service websites,recommendation,entertainment,media,decision,3,,,entertainment,0,
"Analyzing your performance and suggesting areas for improvement in a sport (e.g. running gait, skiing, golf/baseball swing, etc)",sports,entertainment,mundane,recommendation,3,,,entertainment,0,
Finding and removing inappropriate photos and videos from social media posts (content moderation),,media,media,action,3,,,entertainment,0,
Picking what music to listen to at home,service,service,mundane,decision,3,DJ,,entertainment,0,
Developing a personal exercise/fitness plan,service,health,mundane,decision,3,,,health,0,
"For patients with various health conditions, providing advice and emotional support to patients and their family members -- similar to a small part of what a Registered Nurse might do",,health,jobs,action,3,Registered Nurses,,health,0,
"Watching for and saving drowning people in a pool, similar to what a lifeguard would do",,health,jobs,action,3,Lifeguard,,health,0,
Taking photos of important moments in your life,personal aid,chores,mundane,action,2.5,photographer,,living,0,
Recommending clothes for a clothing retail customer to try on/buy (similar to what a retail sales assistant/stylist might do),retail,service,media,recommendation,2.5,,visible recommendation,living,0,
Feeding your dog,chores,personal responsibility,mundane,action,,new,,"living, social",0,
Picking photos to upload to social media,social,social,mundane,decision,3,,boring,"living, social",0,
Writing a speech/toast to give at your best friend's wedding,writing,writing,mundane,action,3,,,"living, social",0,
